127.0.0.1 - - [01/Apr/2018:22:39:16 +0800] "GET / HTTP/1.1" 200 11418
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:40:01 +0800] "GET /microblog/sign/regitster.html/ HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:40:27 +0800] "GET /microblog/sign/login.html HTTP/1.1" 200 2795
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:40:27 +0800] "GET /static/assets/js/jquery.min.js HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:40:27 +0800] "GET /static/assets/css/amazeui.min.css HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:40:27 +0800] "GET /static/layer/layer.js HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:40:27 +0800] "GET /static/assets/js/amazeui.min.js HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:40:27 +0800] "GET /static/layer/layer.js HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:40:37 +0800] "GET /microblog/sign/register.html HTTP/1.1" 200 2082
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:40:37 +0800] "GET /microblog/sign/styles/login.css HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:40:37 +0800] "GET /microblog/sign/styles/assets/css/amazeui.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:40:37 +0800] "GET /microblog/sign/scripts/common/assets/js/jquery.min.js HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:40:37 +0800] "GET /microblog/sign/scripts/common/layer/layer.js HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:40:37 +0800] "GET /microblog/sign/scripts/common/assets/js/amazeui.min.js HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:40:37 +0800] "GET /microblog/sign/scripts/register.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:40:37 +0800] "GET /microblog/sign/scripts/common/layer/layer.js HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:40:38 +0800] "GET /microblog/sign/scripts/register.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:41:09 +0800] "GET /microblog/sign/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:41:09 +0800] "GET /microblog/sign/styles/assets/css/amazeui.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:41:09 +0800] "GET /microblog/sign/styles/login.css HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:41:09 +0800] "GET /microblog/sign/scripts/common/assets/js/jquery.min.js HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:41:09 +0800] "GET /microblog/sign/scripts/register.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:41:09 +0800] "GET /microblog/sign/scripts/common/layer/layer.js HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:41:09 +0800] "GET /microblog/sign/scripts/common/assets/js/amazeui.min.js HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:41:09 +0800] "GET /microblog/sign/scripts/common/assets/js/amazeui.min.js HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:41:09 +0800] "GET /microblog/sign/scripts/common/layer/layer.js HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:41:09 +0800] "GET /microblog/sign/scripts/register.js HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [01/Apr/2018:22:41:09 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
